PNAME,PLFUELCT,PLPFGNCT,CAPFAC,CAPFAC_FIXED,CAPFAC_ACTUAL,NAMEPCAP,LAT,LON,ORIS,NUMGEN,PLNGENAN,Label,MIN_POW,INC_COST,DEC_COST,ORIS,PLPRMFL
KGen Murray I and II LLC,GAS,GAS,0.023154806,0.8,0.1726,1192,34.7094,-84.9182,55382,6,1802001,6,0,956000,10000000,55382,NG
Kraft,COAL,COAL,0.8,0.8,0.4154,352.4,32.1486,-81.1458,733,5,1282318,7,0,2883000,10000000,733,BIT
Lake Blackshear Project,HYDRO,HYDRO,0.1827,0.1827,0.1827,17.2,31.8475,-83.9419,752,4,27534.001,9,0,2397000,10000000,752,WAT
Lloyd Shoals,HYDRO,HYDRO,0.2748,0.2748,0.2748,14.4,33.3206,-83.8419,712,6,34667.999,9,0,2397000,10000000,712,WAT
McIntosh,COAL,COAL,0.8,0.8,0.0852,988,32.3558,-81.1683,6124,9,737494,7,0,2883000,10000000,6124,BIT
McIntosh Combined Cycle Facility,GAS,GAS,0.546182079,0.8,0.458,1376.6,32.3478,-81.1828,56150,6,5523509,7,0,956000,10000000,56150,NG
McManus,OIL,OIL,0.0032,0.5,0.0032,644.3,31.2125,-81.5458,715,12,17848,7,0,901000,10000000,715,RFO
Mid-Georgia Cogeneration Facility,GAS,GAS,0.724442777,0.8,0.0969,323,32.4853,-83.6036,55040,3,274279.14,7,0,956000,10000000,55040,NG
Milstead,HYDRO,HYDRO,0.1362,0.1362,0.1362,1,33.7242,-83.9736,54872,1,1193.001,9,0,2397000,10000000,54872,WAT
Mitchell,COAL,COAL,0.8,0.8,0.2226,288.6,31.4444,-84.1322,727,4,562737,7,0,2883000,10000000,727,BIT
Morgan Falls,HYDRO,HYDRO,0.1854,0.1854,0.1854,16.8,33.9677,-84.3818,717,7,27292,9,0,2397000,10000000,717,WAT
MPC Generating,GAS,GAS,0.156769118,0.8,0.005,386.1,33.8122,-83.6954,7764,2,16852,6,0,956000,10000000,7764,NG
Nacoochee,HYDRO,HYDRO,0.1526,0.1526,0.1526,4.8,34.7528,-83.5014,718,2,6417,9,0,2397000,10000000,718,WAT
Naval Submarine Base Kings Bay,OIL,OIL,0.0144,0.5,0.0144,30,30.7917,-81.5333,54239,12,3789,7,0,901000,10000000,54239,DFO
North Highlands,HYDRO,HYDRO,0.2592,0.2592,0.2592,29.6,32.4992,-84.9967,719,4,67196.999,9,0,2397000,10000000,719,WAT
