ItemName,Warehouse(Region),gglAddress,gglCountry,Total
Blankets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,290012
Buckets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,69603
Clothes,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,174007
HygieneAndDignityKits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,34802
Kitchenset,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,34802
Mosquitonets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,69603
Otherlampslanterns,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,34802
PersonalProtectionEquipmentkit(PPE),Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,174007
SafeDeliverykits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,1741
SchoolPlaykits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,4351
ShelterToolKit,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,34802
Sleepingmats,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,174007
Tarpaulins,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,69603
Tents,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,34802
WaterContainers,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,69603
