date,units_sold,price,region,year,month,peak
2015-03-15,5.57258245,0.94,West,2015,3,1
2015-03-15,2.60234155,1.21,Southeast,2015,3,1
2015-03-15,29.57222571,1.04,Total_US,2015,3,1
2015-03-15,2.46210811,1.19,Midsouth,2015,3,1
2015-03-15,2.94819923,1.1,Great_Lakes,2015,3,1
2015-03-22,3.52040865,1.22,Northeast,2015,3,1
2015-03-22,2.77901266,1.11,Midsouth,2015,3,1
2015-03-22,5.36833144,0.99,West,2015,3,1
2015-03-22,32.51355051,1.01,Total_US,2015,3,1
2015-03-22,1.65111509,1.09,Plains,2015,3,1
2015-03-22,6.0088179,0.76,SouthCentral,2015,3,1
2015-03-22,3.86745383,0.98,Southeast,2015,3,1
2015-03-22,0.28215505,1.19,Northern_New_England,2015,3,1
2015-03-22,3.74659818,1.04,Great_Lakes,2015,3,1
2015-03-29,5.71989826,0.93,West,2015,3,1
2015-03-29,2.55892523,1.16,Southeast,2015,3,1
2015-03-29,2.97144388,1.09,Great_Lakes,2015,3,1
2015-03-29,0.4126392,1.07,Northern_New_England,2015,3,1
2015-03-29,29.98264843,1.04,Total_US,2015,3,1
2015-03-29,3.49702698,1.26,Northeast,2015,3,1
2015-03-29,2.52311039,1.18,Midsouth,2015,3,1
2015-03-29,1.65740468,1.08,Plains,2015,3,1
2015-03-29,5.71301735,0.82,SouthCentral,2015,3,1
2015-04-05,1.66824339,1.13,Plains,2015,4,1
2015-04-05,3.46777071,1.34,Northeast,2015,4,1
2015-04-05,2.51967731,1.19,Midsouth,2015,4,1
2015-04-05,6.36872885,0.83,SouthCentral,2015,4,1
2015-04-05,31.50066944,1.06,Total_US,2015,4,1
2015-04-05,3.14045617,1.08,Southeast,2015,4,1
2015-04-05,0.30914383,1.19,Northern_New_England,2015,4,1
2015-04-05,2.93891881,1.18,Great_Lakes,2015,4,1
2015-04-05,5.92971867,0.95,West,2015,4,1
2015-04-12,2.16008564,0.97,Plains,2015,4,1
2015-04-12,2.8959929,1.11,Great_Lakes,2015,4,1
2015-04-12,3.78150491,1,Southeast,2015,4,1
2015-04-12,32.04640164,1.02,Total_US,2015,4,1
2015-04-12,2.82941658,1.13,Midsouth,2015,4,1
2015-04-12,3.20321309,1.33,Northeast,2015,4,1
2015-04-12,0.30625063,1.16,Northern_New_England,2015,4,1
2015-04-12,5.60947136,0.98,West,2015,4,1
2015-04-12,5.93007271,0.8,SouthCentral,2015,4,1
2015-04-19,2.85715651,1.14,Southeast,2015,4,1
2015-04-19,1.80195687,1.12,Plains,2015,4,1
2015-04-19,6.61242228,0.88,West,2015,4,1
2015-04-19,3.78614118,1.31,Northeast,2015,4,1
2015-04-19,33.09125626,1.03,Total_US,2015,4,1
2015-04-19,2.71100832,1.18,Midsouth,2015,4,1
2015-04-19,5.59388509,0.82,SouthCentral,2015,4,1
2015-04-19,3.85760511,1.06,Great_Lakes,2015,4,1
2015-04-19,0.34656162,1.13,Northern_New_England,2015,4,1
2015-04-26,6.01331236,0.9,West,2015,4,1
2015-04-26,5.57898069,0.83,SouthCentral,2015,4,1
2015-04-26,0.31187923,1.24,Northern_New_England,2015,4,1
2015-04-26,1.78707174,1.13,Plains,2015,4,1
2015-04-26,2.6996145,1.2,Midsouth,2015,4,1
2015-04-26,30.8941578,1.07,Total_US,2015,4,1
2015-04-26,3.01122549,1.16,Southeast,2015,4,1
2015-04-26,3.64636366,1.36,Northeast,2015,4,1
2015-04-26,3.23402432,1.14,Great_Lakes,2015,4,1
2015-05-03,4.59731341,1.24,Northeast,2015,5,1
2015-05-03,0.36698736,1.16,Northern_New_England,2015,5,1
2015-05-03,41.29170439,0.96,Total_US,2015,5,1
2015-05-03,3.41046752,1.07,Midsouth,2015,5,1
2015-05-03,4.98627076,0.97,Southeast,2015,5,1
2015-05-03,6.93709553,0.89,West,2015,5,1
2015-05-03,3.90105442,1.05,Great_Lakes,2015,5,1
2015-05-03,2.3332389,1.01,Plains,2015,5,1
2015-05-03,6.55872933,0.78,SouthCentral,2015,5,1
2015-05-10,36.40088658,1.02,Total_US,2015,5,1
2015-05-10,6.3237248,0.94,West,2015,5,1
2015-05-10,5.49865028,1.21,Northeast,2015,5,1
2015-05-10,6.40034097,0.79,SouthCentral,2015,5,1
2015-05-10,3.50134446,1.15,Great_Lakes,2015,5,1
2015-05-10,2.10583109,1.03,Plains,2015,5,1
2015-05-10,0.57843676,1.05,Northern_New_England,2015,5,1
2015-05-10,2.95685919,1.17,Midsouth,2015,5,1
